JA04-03-AP-00014
PIPING AND INSTRUMENTATION DIAGRAM\JUDY RISER PLATFORM AND BRIDGE\JASMINE HP SEPARATOR
Continuity Labels
Number,Tag,x,y,w,h,Pointing Direction,Location
65,vertical,2744,3154,2744,3171,4,C4,N/A
66,vertical,2878,3153,2878,3171,5,D4,N/A
67,vertical,1187,2345,1187,2352,5,B3,N/A
68,vertical,951,2381,951,2409,5,B3,N/A
69,vertical,951,2425,951,2432,5,B3,N/A
70,horizontal,5210,3823,5275,3823,5,F5,N/A
71,vertical,3225,2412,3225,2430,5,D3,N/A
72,vertical,2950,2413,2950,2431,5,D3,N/A
73,vertical,3550,2413,3550,2430,5,D3,N/A
74,vertical,3662,2413,3662,2430,5,D3,N/A
75,vertical,3819,2341,3819,2431,6,E3,N/A
76,vertical,2475,2414,2475,2430,6,C3,N/A
77,vertical,2475,2363,2475,2398,5,C3,N/A
78,vertical,1186,2425,1186,2467,5,B3,down
79,vertical,4603,2318,4603,2430,6,E3,N/A
80,horizontal,1922,3093,1937,3093,5,C4,N/A
81,vertical,3461,2341,3461,2430,7,D3,N/A
82,horizontal,4718,3094,4730,3094,7,F4,N/A
83,horizontal,4930,1109,5015,1109,6,F2,N/A
84,horizontal,1592,952,1616,952,5,B2,N/A
85,horizontal,4290,2039,4344,2039,15,E3,N/A
86,horizontal,4371,2534,4413,2534,7,E3,N/A
87,horizontal,4359,2702,4413,2702,7,E4,N/A
88,vertical,4413,2486,4413,2486,10,E3,N/A
89,horizontal,4413,2735,4503,2735,8,E4,N/A
90,vertical,4503,2717,4503,2738,6,E4,N/A
91,horizontal,4413,2915,4503,2915,10,E4,N/A
92,vertical,4503,2911,4503,2946,9,E4,N/A
93,vertical,2643,3041,2643,3145,10,C4,N/A
94,horizontal,2542,2838,2643,2838,10,C4,N/A
95,vertical,2542,2834,2542,2856,9,C4,N/A
96,horizontal,2543,2635,2643,2635,10,C4,N/A
97,vertical,2543,2614,2543,2639,9,C4,N/A
98,horizontal,2643,2510,2695,2510,12,C3,N/A
99,vertical,4759,2009,4759,2041,9,F3,N/A
100,vertical,5051,2041,5051,2072,6,F3,N/A
101,vertical,5096,1998,5096,2041,7,F3,N/A
102,horizontal,2643,2601,2675,2601,9,C3,N/A
103,horizontal,2643,2871,2675,2871,8,C4,N/A
104,vertical,4794,3465,4794,3497,8,F4,N/A
105,horizontal,4413,3744,4445,3744,7,E5,N/A
106,horizontal,4256,3689,4288,3689,8,E5,N/A
107,vertical,4883,3823,4883,3857,8,F5,N/A
108,vertical,1533,2435,1533,2467,6,B3,N/A
109,horizontal,1556,1178,1588,1178,6,B2,N/A
110,horizontal,2474,1167,2507,1167,6,C2,N/A
111,horizontal,2475,1345,2507,1345,5,C2,N/A
112,horizontal,2879,1391,2910,1391,6,D2,N/A
113,horizontal,2878,1178,2910,1178,6,D2,N/A
114,horizontal,2913,953,2938,953,6,D2,N/A
115,vertical,3954,1110,3954,1142,7,E2,N/A
116,vertical,4704,1078,4704,1110,6,F2,N/A
117,horizontal,920,1694,952,1694,6,B2,N/A
118,horizontal,1557,1391,1588,1391,6,B2,N/A
119,vertical,4412,3130,4412,3147,5,E4,N/A
120,horizontal,2746,2602,2780,2602,6,C3,N/A
121,horizontal,2746,2870,2779,2870,7,C4,N/A
122,horizontal,4255,2703,4288,2703,6,E4,N/A
123,horizontal,4255,2960,4289,2960,6,E4,N/A
124,horizontal,4358,2960,4413,2960,6,E4,N/A
125,vertical,1557,1550,1557,1614,6,B2,N/A
126,vertical,5152,3823,5152,3854,6,F5,N/A
127,horizontal,5376,3498,5464,3498,12,F5,N/A
128,vertical,5376,3465,5376,3732,8,F5,N/A
129,horizontal,5031,3465,5184,3465,10,F4,N/A
130,horizontal,5184,3465,5381,3465,10,F4,N/A
131,horizontal,5065,3823,5163,3823,5,F5,N/A
132,horizontal,5163,3823,5184,3823,5,F5,N/A
133,horizontal,1003,2467,1229,2467,9,B3,N/A
134,horizontal,1229,2467,1807,2467,9,B3,N/A
135,horizontal,4509,2041,4674,2041,10,E3,N/A
136,horizontal,4674,2041,4859,2041,10,F3,N/A
137,vertical,4256,3321,4256,4034,4,E5,N/A
138,vertical,4412,3154,4412,3552,5,E4,N/A
139,vertical,3226,1110,3226,2309,4,D2,up
140,horizontal,1843,2467,1913,2467,9,C3,right
141,horizontal,1503,1614,3553,1614,4,C2,left
Pipeline Junctions
Number,Intersecting Pipeline,Side Intersecting,Intersected Pipeline,x,y,Location
1,1,Start,12,4850,3823,F5
2,2,Start,9,5376,3869,F5
3,3,Start,128,5376,3600,F5
4,8,End,22,952,1009,A2
5,11,Start,130,5275,3465,F4
6,12,Start,27,4850,3465,F4
7,17,Start,141,3551,1614,D2
8,19,End,141,2475,1614,C2
9,33,End,141,2879,1614,D2
10,78,End,133,1186,2467,B3
11,86,End,88,4413,2534,E4
12,87,End,88,4413,2702,E4
13,88,End,89,4413,2735,E4
14,89,End,90,4503,2735,E4
15,91,End,92,4503,2915,E4
16,94,Start,95,2542,2838,C4
17,96,Start,97,2543,2635,C4
18,99,End,136,4759,2041,F3
19,106,Start,137,4256,3689,E5
20,108,End,134,1533,2467,B3
21,125,End,141,1557,1614,B2
22,126,Start,131,5152,3823,F5
23,127,Start,128,5376,3498,F5
24,128,Start,130,5376,3465,F4
25,1,Start,12,4850,3823,F5
26,2,Start,9,5376,3869,F5
27,3,Start,128,5376,3600,F5
28,8,End,22,952,1009,A2
29,11,Start,130,5275,3465,F4
30,12,Start,27,4850,3465,F4
31,17,Start,141,3551,1614,D2
32,19,End,141,2475,1614,C2
33,28,Start,26,4155,3465,E4
34,33,End,141,2879,1614,D2
35,38,End,2,5667,3869,G5
36,40,Start,3,5667,3600,G5
37,70,End,11,5275,3823,F5
38,78,End,133,1186,2467,B3
39,85,Start,30,4290,2039,E3
40,86,End,13,4413,2534,E4
41,86,End,88,4413,2534,E4
42,87,End,13,4413,2702,E4
43,87,End,88,4413,2702,E4
44,88,End,13,4413,2486,E4
45,89,Start,13,4413,2735,E4
46,89,End,90,4503,2735,E4
47,91,Start,13,4413,2915,E4
48,91,End,92,4503,2915,E4
49,94,End,14,2643,2838,C4
50,94,Start,95,2542,2838,C4
51,96,End,14,2643,2635,C4
52,96,Start,97,2543,2635,C4
53,98,Start,14,2643,2510,C3
54,99,End,136,4759,2041,F3
55,100,Start,29,5051,2041,F3
56,101,End,29,5096,2041,F3
57,102,Start,14,2643,2601,C3
58,103,Start,14,2643,2871,C4
59,104,Start,27,4794,3465,F4
60,105,Start,10,4413,3744,E5
61,106,Start,137,4256,3689,E5
62,107,Start,1,4883,3823,F5
63,108,End,134,1533,2467,B3
64,109,Start,35,1556,1178,B2
65,110,Start,57,2474,1167,C2
66,111,Start,56,2475,1345,C2
67,112,Start,20,2879,1391,D2
68,113,Start,32,2878,1178,D2
69,115,Start,6,3954,1110,E2
70,116,End,5,4704,1110,F2
71,117,End,18,952,1694,A3
72,118,Start,21,1557,1391,B2
73,124,End,13,4413,2960,E4
74,125,End,141,1557,1614,B2
75,126,Start,131,5152,3823,F5
76,127,Start,128,5376,3498,F5
77,128,Start,130,5376,3465,F4
78,139,Start,7,3226,1110,D2
Area Breaks
Label,Area (left/up),Area (right/down),x,y,Location
1,JAS_SEP,JRP_UDP,5184,3465,F4
2,JAS_SEP,JRP_UDP,5163,3823,F5
3,JRP_UDP,JRP_WDP,1229,2467,B3
4,JRP_WDP,JRP_UWP,4674,2041,F3
Composition Breaks
Label,Marked over (Vessel/Incoming Pipeline),ID,Phase (vessel left/up or incoming pipeline),Phase (vessel right/down vessel or remaining pipeline),x,y,Location
1,Vessel,1,Gas,Water,1856,2792,C4
2,Vessel,1,Gas,Oil,4816,2795,F4
3,Vessel,1,Water,Oil,4111,3154,E4
4,Pipeline Endpoint,61,Well Fluids,Gas,1955,2467,C3
Section Breaks
Equipment ID,Textstring ID,Reading,Section (left/up),Section (right/down),x,y,Location
33,N/A,N/A,END,JAS_SEP,1201,2388,B3
59,N/A,N/A,JAS_SEP,END,1636,953,B2
58,N/A,N/A,END,JAS_SEP,2395,953,C2
57,N/A,N/A,JAS_SEP,END,2967,953,D2
56,N/A,N/A,JAS_SEP,END,4155,1066,E2
92,N/A,N/A,JAS_SEP,END,4287,3184,E4
93,N/A,N/A,JAS_SEP,END,3967,3184,E4
94,N/A,N/A,JAS_SEP,END,3788,3192,E4
95,N/A,N/A,JAS_SEP,END,3654,3190,D4
96,N/A,N/A,JAS_SEP,END,3385,3190,D4
97,N/A,N/A,JAS_SEP,END,3251,3190,D4
98,N/A,N/A,JAS_SEP,END,2982,3190,D4
99,N/A,N/A,JAS_SEP,END,2847,3190,D4
100,N/A,N/A,JAS_SEP,END,2713,3190,C4
101,N/A,N/A,JAS_SEP,END,2545,3190,C4
102,N/A,N/A,JAS_SEP,END,2399,3190,C4
103,N/A,N/A,JAS_SEP,END,2175,3190,C4
104,N/A,N/A,JAS_SEP,END,2041,3190,C4
105,N/A,N/A,JAS_SEP,END,3519,3190,D4
8,N/A,N/A,JAS_SEP,END,3945,3598,E5
14,N/A,N/A,JAS_SEP,JASOCOOL,4995,3411,F4
6,N/A,N/A,JAS_SEP,JASOCOOL,5029,3771,F5
Text Strings
Number,Type,Pipe/Equip,Reading,x,y,w,h,Location
1,N/A,N/A,103-V1066,5220,3876,140,36,F5
2,N/A,N/A,"O,75'",4312,3868,68,36,E5
3,N/A,N/A,061-V1190,4444,3864,156,36,E5
4,N/A,N/A,HC,5568,3812,44,36,G5
5,N/A,N/A,"2""",5620,3800,32,36,G5
6,N/A,N/A,103-V1045,5700,3796,140,36,G5
7,DB&BBV (Vertical-Left),1,"2""",4868,3784,36,36,F5
8,N/A,N/A,D,4468,3776,28,44,E5
9,N/A,N/A,NOTE 45,5036,3764,124,36,F5
10,N/A,N/A,HT,5568,3756,44,36,G5
11,N/A,N/A,NO///PB,5296,3736,48,68,F5
12,Pipeline,106,3-DC-0612330-DDJ01-HT,4216,3700,36,336,E5
13,N/A,N/A,CONFIG 18,4000,3684,156,36,E5
14,N/A,N/A,"O,75""",4452,3676,72,36,E5
15,N/A,N/A,NO///PB,5580,3628,44,68,G5
16,N/A,N/A,"1""",4308,3628,32,32,E5
17,N/A,N/A,"O,75""",4312,3572,72,36,E5
18,N/A,N/A,103-V1059,4704,3564,140,44,F5
19,N/A,N/A,CONFIG 17,4948,3560,152,36,F5
20,N/A,N/A,103-V1078,5432,3528,140,36,F5
21,N/A,N/A,D,4816,3516,28,36,F5
22,N/A,N/A,"1""",4724,3516,32,36,F5
